A,B,C,D,E
52.1,9.48,50.59,8.67,295.02
52.42,9.61,50.11,8.98,291.67
51.94,9.44,49.62,8.55,279.52
51.08,9.27,49.14,8.94,286.64
51.23,9.14,48.23,8.32,279.1
51.63,9.65,48.87,8.2,276.58
50.84,9.57,48.23,7.89,291.67
50.45,9.53,47,8,281.61
51.87,9.48,46.09,8.12,263.17
51.23,9.57,48.87,7.96,284.13
51.23,9.57,48.87,7.58,286.22
50.76,9.53,49.78,7.59,294.19
50.45,9.53,52.73,7.6,304.24
48.71,9.53,53.16,7.57,297.12
48.71,9.57,53.21,7.61,299.21
47.69,9.53,55.95,7.89,305.5
47.92,9.53,54.23,7.64,303.82
48.08,9.44,53.48,7.64,290.41
47.06,9.48,52.79,7.61,289.99
47.29,9.27,51.82,7.22,284.97
46.35,9.23,52.36,7.28,280.7
43.04,8.85,49.62,6.99,259.8
41.85,8.55,49.62,6.71,251.26
42.72,8.89,49.57,7.29,271.31
43.67,8.85,48.5,7.21,267.9
44.46,8.97,48.87,7.4,285.82
45.8,9.19,49.03,7.75,277.29
46.74,9.14,49.36,8.2,283.26
44.93,9.14,49.36,7.85,276.86
44.69,9.19,49.36,7.81,274.3
45.24,9.65,53.59,8.04,278.99
44.93,9.4,52.52,7.96,264.92
44.93,9.36,52.52,7.93,267.9
44.77,9.44,53.8,8,268.75
46.35,9.7,53.32,8.43,287.95
45.56,9.78,52.3,8.39,283.26
46.27,9.78,53.05,8.47,283.26
46.27,9.78,52.46,8.47,289.23
46.11,9.74,53.11,8.43,284.54
46.43,9.7,54.13,8.55,290.08
48.24,9.83,55.41,8.67,292.22
48.16,9.87,54.02,8.59,295.63
46.51,9.53,53.21,8.08,288.8
47.14,9.61,53.21,8.04,295.2
45.87,9.31,54.66,7.73,290.94
44.69,9.19,53.48,7.59,278.99
44.69,9.31,54.02,7.72,288.38
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
43.83,9.19,54.02,7.58,299.04
44.38,9.27,55.73,7.7,301.6
45.24,9.31,57.88,7.79,302.88
46.19,9.48,57.34,7.78,297.34
46.9,9.57,56.7,7.69,298.62
48.32,9.61,56.91,7.8,301.6
48.48,9.57,54.23,7.77,301.18
#N/A,#N/A,#N/A,#N/A,#N/A
50.05,9.7,54.66,7.96,299.04
50.6,9.74,55.52,8.04,300.75
50.45,10.12,57.13,8.08,296.91
51.47,10.46,55.84,8.16,292.64
51.16,10.34,57.13,8.08,282.41
51.94,10.51,55.73,8.08,276.43
52.02,10.42,56.16,7.96,275.15
52.5,10.25,56.16,7.65,278.99
51.55,10.34,56.59,7.65,281.13
52.34,10.51,56.05,7.64,286.67
52.57,10.59,56.05,7.68,291.79
52.42,10.63,56.7,7.76,276.86
51.94,10.29,55.95,7.7,275.58
51.08,10.12,55.3,7.63,274.3
51,10.12,54.98,7.47,273.02
50.68,10.25,56.38,7.6,272.59
51.63,10.46,57.56,7.68,282.41
52.5,10.55,57.88,7.77,286.67
51.63,10.72,60.02,7.93,288.38
50.53,10.55,56.91,7.62,288.38
49.89,10.34,55.63,7.48,277.29
48.87,10.25,54.55,7.36,275.58
48.4,10.21,53.48,7.21,272.17
48.63,10.17,53.38,7.21,265.34
47.77,10.12,54.55,7.03,265.77
47.29,9.83,54.13,6.94,264.49
48.16,10.38,55.52,7.03,267.9
47.37,10.29,54.34,7,267.05
48.63,10.42,54.55,7.11,273.02
48.16,10.51,54.77,7.07,270.46
48.71,10.55,55.2,7.14,273.02
47.45,10.17,54.34,6.96,273.02
47.53,10.29,53.7,6.83,270.46
48,10.38,54.77,7,273.02
47.14,10.25,54.45,6.93,271.31
46.19,10.08,53.8,6.82,269.61
48.08,10.38,55.52,6.96,274.73
48.08,10.25,54.88,6.89,277.29
48,10.42,54.66,6.82,273.02
47.14,10.25,54.98,6.83,270.89
47.92,10.29,55.09,6.94,273.87
46.51,10.17,54.98,6.82,274.73
45.95,9.87,54.55,6.71,276.43
45.87,9.83,54.77,6.63,268.75
44.77,9.95,54.88,6.5,256.38
44.3,9.95,53.8,6.33,248.28
45.24,9.87,54.02,6.78,240.6
45.24,10.04,54.66,6.87,240.17
46.03,10.34,55.2,6.85,248.28
45.8,10.21,55.3,6.77,241.88
45.87,10.59,56.16,7.44,241.03
46.19,10.51,54.88,7.46,243.16
46.19,10.59,54.66,7.73,246.57
45.72,10.46,53.91,7.77,247.43
46.35,10.55,54.13,7.79,245.72
46.27,10.46,54.98,7.64,240.6
46.11,10.34,56.27,7.69,236.76
46.51,10.29,56.8,7.57,236.76
48.08,10.29,57.02,7.6,235.48
#N/A,#N/A,#N/A,#N/A,#N/A
45.24,10.04,56.7,7.39,232.49
45.32,10,56.48,7.18,226.1
45.32,10,56.27,7.1,214.15
45.4,9.74,56.27,7.09,192.82
44.85,9.7,57.23,7.12,188.13
44.85,9.4,56.8,7.04,189.41
45.17,9.44,57.23,7.44,173.62
45.01,9.4,56.38,7.5,183.86
44.69,9.48,56.59,7.36,186.42
44.69,9.57,55.95,7.07,186.42
44.61,9.48,56.8,7.1,186.85
44.38,9.48,56.48,7.07,197.94
44.06,9.44,55.95,6.83,183.44
43.27,9.44,56.38,6.88,187.28
43.59,9.57,56.38,6.93,187.28
44.46,9.74,56.38,6.93,194.95
43.75,9.95,55.2,6.89,191.97
43.75,9.95,55.52,6.82,190.69
44.3,10.85,55.73,6.84,196.23
45.56,10.93,55.95,6.7,208.6
46.51,10.97,57.13,6.91,215
46.82,11.14,57.13,6.72,206.9
46.35,10.97,56.16,6.56,202.63
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
46.74,11.23,58.31,6.45,197.94
47.29,11.19,58.63,6.73,213.72
47.53,11.27,59.27,6.62,210.74
48.48,11.4,59.27,6.75,215
49.03,11.23,57.77,6.63,215.86
48.79,11.23,57.88,6.56,215.43
48.32,11.23,57.45,6.69,210.74
49.19,11.23,58.31,7,213.3
48.87,11.27,58.63,7.11,214.58
50.29,11.36,58.95,7.04,221.83
#N/A,#N/A,#N/A,#N/A,#N/A
51.08,11.4,59.27,7.06,234.63
50.92,11.36,58.73,7.17,237.61
51.94,11.44,57.66,7.18,231.21
52.02,11.4,58.52,7.09,235.05
52.81,11.4,59.16,6.99,232.49
52.97,11.23,57.88,7.26,230.36
52.42,10.97,56.38,7.26,233.35
51.87,11.19,56.48,7.57,229.93
51.87,11.27,56.48,7.57,234.2
51.71,11.4,57.02,7.68,239.75
51.08,11.27,57.13,7.64,235.48
51.79,11.27,57.56,7.85,240.6
51.63,11.31,57.98,7.7,238.47
52.89,11.31,58.2,7.75,251.26
53.05,11.36,58.2,7.77,247
52.81,11.31,58.09,7.61,243.16
52.73,11.23,57.66,7.59,241.88
53.21,11.27,56.8,7.45,234.63
52.57,11.14,57.56,7.46,227.38
52.81,11.14,57.34,7.6,216.28
52.42,10.97,57.34,7.5,214.58
53.28,11.27,57.34,7.61,227.8
53.28,11.31,56.91,7.55,225.24
52.73,11.19,57.02,7.43,220.98
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
52.02,10.85,58.84,7.18,224.39
51.08,10.72,60.13,7.04,217.14
51.71,10.85,60.23,7.58,217.99
51.63,10.72,60.98,7.69,221.4
51.47,10.97,62.16,7.57,219.7
51.47,10.97,62.27,7.7,226.95
51.31,10.93,63.77,7.71,229.93
52.26,10.93,63.45,7.73,225.24
52.26,10.97,63.56,7.79,215
52.02,10.76,61.95,7.67,202.21
50.84,10.72,59.91,7.66,207.33
50.45,10.68,60.34,7.72,203.91
51.23,10.8,58.31,7.73,199.22
50.84,10.8,59.91,7.6,200.5
50.68,10.8,58.73,7.43,201.78
51.23,10.68,57.77,7.47,199.22
50.45,10.21,57.77,7.45,197.94
49.82,10.21,56.38,7.34,193.67
#N/A,#N/A,#N/A,#N/A,#N/A
49.42,9.91,56.48,7.04,187.7
47.77,9.74,55.52,6.81,182.58
47.69,9.61,55.73,6.77,172.34
47.45,9.61,55.95,6.74,182.58
48.48,9.57,57.13,6.88,181.73
48.79,9.57,57.56,6.81,184.29
48.63,9.57,57.23,6.7,179.17
48.4,9.7,57.45,6.83,184.29
46.9,9.61,57.13,6.7,179.6
47.06,9.74,57.34,6.7,183.44
46.82,9.83,57.34,6.68,188.13
46.74,9.83,56.59,6.6,189.83
46.82,9.78,56.27,6.57,187.7
46.66,9.83,56.16,6.68,197.09
47.92,10.04,57.45,7.08,216.28
47.53,10.04,59.59,6.94,212.44
48.16,10.21,59.16,7,205.62
47.85,10.29,59.7,7,206.05
47.92,10.34,59.59,7.04,209.88
48.79,10.38,59.48,6.96,211.16
49.03,10.38,58.84,7.07,211.59
48.87,10.42,60.23,7.28,214.15
48.63,10.42,59.91,7.18,209.03
49.19,10.55,58.09,7.14,212.02
48.63,10.55,58.73,7.25,206.9
49.5,10.59,59.16,7.29,210.74
49.19,10.55,58.95,7.27,210.74
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
47.29,10.38,58.2,7.07,210.74
47.37,10.29,58.84,7.22,214.58
47.53,10.42,58.63,7.24,211.16
46.66,10.21,57.77,7.13,202.63
47.06,10.34,58.09,7.18,203.91
47.61,10.59,58.31,7.34,208.18
47.85,10.42,59.08,7.28,208.18
47.92,10.59,59.08,7.36,211.16
47.61,10.68,59.08,7.36,211.16
47.29,10.21,58.19,7.3,203.91
47.37,10.59,58.19,7.45,200.07
47.29,10.46,57.97,7.57,200.93
48.08,10.68,59.53,8,204.34
48.08,10.72,59.42,8.55,202.63
48.16,10.68,58.75,8.59,203.91
48.48,10.76,59.2,8.74,203.91
48.48,10.72,59.64,8.78,197.51
47.37,10.51,58.53,8.59,188.55
48,10.55,59.2,8.79,187.28
#N/A,#N/A,#N/A,#N/A,#N/A
48.16,11.02,58.86,8.95,187.7
49.11,11.07,59.08,8.79,193.25
49.26,11.12,59.42,9.11,195.81
49.66,11.12,59.31,8.99,195.81
50.45,10.98,59.64,9.07,204.77
51,11.12,59.31,9.48,208.18
51.91,11.07,59.53,9.88,206.9
51.58,10.98,59.08,9.88,203.91
51.75,11.12,59.64,10.28,204.77
51.58,10.94,60.09,10.16,203.49
51.58,10.94,60.42,9.92,200.5
51.5,11.03,59.64,10.04,196.66
51.16,11.16,60.09,10.2,197.94
50.92,10.76,60.09,10.4,191.54
50.17,10.58,60.53,10.44,189.41
51.16,10.58,60.09,10.4,191.97
51.25,10.63,60.98,10.52,191.97
50.25,10.5,60.98,10.52,191.11
50.5,10.58,60.98,10.48,187.28
51.16,10.58,60.98,10.77,186.42
51.33,10.58,60.98,10.97,188.13
51.33,10.63,60.98,10.77,185.57
51.83,10.58,60.98,10.48,182.16
51.91,10.63,60.98,10.24,178.74
51.99,10.67,60.98,10.24,181.73
52.16,10.54,62.49,9.8,186.85
51.5,10.45,62.4,10.04,186.42
51.33,10.45,61.75,9.92,186
51.16,10.36,61.57,9.88,191.97
50.5,10.27,61.47,10.24,189.41
50.5,10.14,62.31,10.24,189.83
50.75,10.18,61.75,10.16,190.26
50.5,10.18,61.75,10,194.1
51.25,10.54,63.32,10.44,195.81
51.41,10.5,63.05,10.36,192.82
51.16,10.32,62.4,10.12,195.38
51,10.32,62.4,10.36,197.09
50.33,10.23,62.21,10.08,194.53
49.92,10.23,61.75,9.76,192.82
50.08,10.32,62.21,9.48,190.69
50.83,10.36,61.75,9.84,195.38
51.33,10.45,62.31,9.88,197.51
51.83,10.54,61.57,9.76,206.47
51.58,10.45,61.2,9.68,214.48
50.58,10.36,59.9,9.48,214.93
50,10.27,58.05,9.07,212.26
49.84,10.23,57.41,9.19,212.7
49.34,10.14,58.24,8.99,224.27
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
50.33,10.27,59.35,9.15,240.29
50.42,10.27,58.79,9.4,234.95
50.67,10.5,59.44,9.6,236.73
51,10.45,60.46,9.4,232.73
51.66,10.45,60.09,9.56,237.62
51.66,10.32,59.26,9.35,229.17
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
51.91,10.36,60.18,9.31,230.5
51.5,10.27,60.18,9.27,226.5
51.08,10.32,60.37,9.8,227.39
51.99,10.32,59.72,9.8,233.17
51.83,10.32,59.72,9.88,228.72
51.99,10.32,59.35,9.92,220.27
52.33,10.23,59.35,9.68,218.04
#N/A,#N/A,#N/A,#N/A,#N/A
52.33,10.36,57.68,9.4,218.93
52.49,10.27,58.24,9.44,222.49
52.41,10.23,57.78,9.52,220.71
52.41,10.36,57.32,9.35,216.71
52.16,10.27,57.32,9.35,217.15
52.83,10.36,57.32,9.48,219.82
53.07,10.41,57.59,9.64,222.05
53.99,10.36,58.42,9.68,222.94
53.66,10.41,60.92,10.04,222.49
53.57,10.36,59.26,10.32,218.93
53.91,10.41,58.98,10.48,223.38
54.24,10.27,58.98,10.56,220.27
54.24,10.23,58.7,10.36,218.93
54.4,10.41,57.59,9.96,218.93
54.57,10.45,58.79,9.68,220.27
53.91,10.45,57.78,9.88,216.71
53.57,10.41,57.22,9.76,203.8
53.16,10.32,56.95,9.64,200.24
53.57,10.32,57.41,9.68,198.02
53.82,10.36,57.59,9.68,204.25
54.4,10.41,57.32,9.88,207.36
53.49,10.23,55.28,9.27,197.13
54.82,10.32,56.39,9.52,202.02
53.74,10.1,54.91,9.23,192.68
53.16,10.05,55.19,9.15,190.01
53.57,10.05,55.1,9.19,190.45
54.15,10.05,54.26,9.19,189.56
54.74,10.1,54.17,9.4,190.01
54.32,10.05,54.26,9.4,195.35
54.07,10.14,54.17,9.48,198.46
54.9,10.14,54.63,9.48,200.69
55.23,10.18,55,9.4,198.46
55.23,10.1,55,9.31,195.35
55.07,10.1,54.82,9.4,197.57
55.65,10.1,55,9.27,207.81
55.4,10.1,55,9.31,212.26
55.73,10.01,55,9.23,206.03
56.9,10.1,54.91,9.23,211.37
57.14,10.05,54.26,9.15,211.37
56.56,9.96,53.06,9.31,207.36
57.39,10.14,53.16,9.27,210.03
57.39,10.1,53.25,9.52,207.81
58.64,10.14,53.71,9.68,208.25
59.55,10.1,53.25,9.6,207.81
