A,B,C,D,E
55.98,9.55,25.99,11.72,189.07
52.12,9.66,25.88,11.87,202.2
49.17,9.44,25.66,11.42,204.07
49.52,9.33,25.54,11.94,202.57
49.87,9.15,25.32,11.35,188.69
48.46,8.52,23.66,10.57,175.56
47.27,8.04,22.66,9.86,174.06
45.79,7.71,22.01,9.26,175.19
45.65,8.19,22.77,9.9,186.44
46.36,7.97,22.55,10.08,186.82
45.44,8.04,22.43,10.12,187.57
46.29,8.26,22.77,10.3,193.94
46,8.26,22.55,10.19,187.57
46.5,8.19,22.32,9.9,174.44
45.93,8.08,22.1,10.04,176.31
45.65,7.89,20.59,9.37,164.31
46.15,7.89,20.59,9.11,153.05
46.85,8.19,20.95,9.3,163.56
46.64,8.08,20.66,9.19,170.69
46.92,8.04,19.64,8.93,159.06
47.41,7.97,19.79,9.11,163.56
47.76,8.11,20.17,9.56,158.31
47.34,8.19,20.28,9.64,169.18
48.53,8.33,20.59,10.27,170.69
49.24,8.67,20.79,10.42,165.43
48.74,8.56,20.64,10.53,166.18
48.18,8.15,19.99,9.82,167.31
47.13,8.04,19.7,9.34,162.06
47.41,8.41,20.12,9.49,172.19
46.85,8.37,20.06,9.52,178.56
47.2,8.33,19.99,9.6,177.44
#N/A,#N/A,#N/A,#N/A,#N/A
44.95,8.04,19.64,9.19,171.44
44.95,7.93,19.7,8.93,159.81
46,8.11,20.1,9.37,155.75
47.06,8.45,21.08,9.52,151.93
47.41,8.26,20.59,9.37,142.77
47.9,8.33,20.66,9.6,142.77
48.04,8.41,20.75,10.12,142.77
47.06,8.11,20.19,9.67,134.75
45.51,7.93,19.51,9.49,125.59
46,8,18.86,8.97,117.19
47.13,8.48,19.4,9.19,125.21
46.64,8.52,19.22,9.19,133.61
46.22,8.45,19.22,9.26,138.57
46.57,8.41,19.33,9.26,136.66
46.15,8.33,18.86,9.04,132.84
45.51,8.48,18.88,9,136.66
45.44,8.45,18.79,8.85,130.55
47.55,8.67,18.97,9.08,135.13
48.67,8.78,19.67,9.15,130.55
#N/A,#N/A,#N/A,#N/A,#N/A
48.81,8.96,20.37,9.49,139.33
47.55,8.96,20.46,9.49,142.38
47.34,8.81,20.73,9.56,145.06
47.41,8.78,20.32,9.52,143.53
48.74,9,20.64,9.49,133.61
48.11,8.78,20.43,9.04,124.44
48.74,8.89,20.5,9.11,116.05
48.39,8.89,20.25,8.85,116.43
47.97,8.89,20.28,8.97,112.99
48.6,9.37,20.68,9.23,120.63
47.97,9.37,20.7,9.41,126.73
47.83,9.44,20.91,9.15,127.12
47.48,9.74,20.86,9.19,134.37
47.76,9.74,20.57,9.82,139.33
47.69,9.85,20.46,9.78,129.79
47.13,9.7,20.55,10.19,132.84
46.29,9.59,20.82,10.57,136.28
45.79,9.4,20.79,10.42,130.93
46.36,9.63,21.62,11.12,131.7
46.36,9.55,21.6,11.12,134.37
46.78,9.59,21.49,11.09,131.31
46.85,9.63,21.29,10.75,125.97
46.78,9.26,20.03,10.19,118.72
46.85,9.44,20.55,10.9,119.1
46.85,9.7,20.95,10.97,125.59
46.92,9.63,20.66,11.16,123.68
46.22,9.59,20.48,10.79,124.83
45.72,9.48,20.28,10.9,129.79
42.91,9.29,19.78,10.23,129.41
41.79,9.11,19.09,9.93,128.26
41.65,9.26,19.04,10.19,121.77
39.4,8.81,18.21,9.49,120.63
41.02,8.78,18.57,9.9,112.23
39.12,8.96,19.06,9.67,104.59
39.19,9.26,19.11,10.34,103.07
39.54,9.29,19.27,10.49,109.94
38.77,9.59,19.47,10.45,108.03
40.6,9.77,19.76,11.16,111.46
39.4,9.7,19.81,10.97,112.23
40.32,9.55,19.81,10.83,104.59
39.33,9.4,19.58,10.42,105.36
41.44,9.48,19.06,10.75,101.54
41.58,9.44,18.3,10.27,95.43
40.1,9.18,18.3,10.12,95.05
41.3,9.26,18.46,9.9,94.67
41.37,9,18.05,9.93,98.87
41.23,8.89,17.92,9.82,103.83
39.68,8.67,17.51,9.41,101.54
38.98,9.04,17.36,9.45,101.16
38.56,8.96,16.48,9.49,94.29
38.14,8.67,16.53,9.56,100.39
40.1,9.18,17.63,10.19,107.27
40.32,9.11,17.22,9.97,108.79
41.3,9.37,17.65,10.23,112.61
42,9.22,17.6,10.08,108.79
42.42,9.29,17.81,10.12,109.17
42.42,9.33,17.72,9.86,107.27
41.93,9.37,17.56,9.86,108.03
42.21,9.37,17.6,9.67,107.27
42.14,9.29,17.56,9.56,103.83
43.12,9.48,17.67,9.71,109.17
43.2,9.59,17.72,9.75,110.7
43.34,9.7,17.87,9.78,111.85
43.27,9.59,17.87,9.6,119.48
43.55,9.51,17.76,9.56,121.39
44.39,9.81,17.78,10.19,120.63
44.25,9.92,17.6,10.64,121.77
44.25,10.22,17.13,10.6,121.77
44.25,10.22,16.62,10.34,123.3
44.25,9.92,16.46,10.6,121.01
44.32,10.4,16.95,11.12,127.88
